utt_id,maya,spanish,spk_id,start,end
c5EgkTbau2o_0000,baach,chachalaca,spk_001,00:00:22.550,00:00:24.450
c5EgkTbau2o_0001,chiich,abuela,spk_001,00:00:26.450,00:00:28.250
c5EgkTbau2o_0002,ch'íich',pájaro,spk_001,00:00:29.750,00:00:31.350
c5EgkTbau2o_0003,ja',agua,spk_001,00:00:32.450,00:00:33.550
c5EgkTbau2o_0004,kool,milpa,spk_001,00:00:35.350,00:00:37.050
c5EgkTbau2o_0005,k'i'ik',sangre,spk_001,00:00:38.250,00:00:39.900
c5EgkTbau2o_0006,luuk',lodo,spk_001,00:00:41.250,00:00:42.950
c5EgkTbau2o_0007,míis,escoba,spk_001,00:00:44.450,00:00:46.450
c5EgkTbau2o_0008,nool,abuelo,spk_001,00:00:47.350,00:00:49.250
c5EgkTbau2o_0009,pool,cabeza,spk_001,00:00:50.950,00:00:52.750
c5EgkTbau2o_0010,p'aak,tomate,spk_001,00:00:54.250,00:00:56.450
c5EgkTbau2o_0011,turix,libélula,spk_001,00:00:57.450,00:00:59.450
c5EgkTbau2o_0012,sojol,hojarasca,spk_001,00:01:00.450,00:01:02.150
c5EgkTbau2o_0013,teen,yo,spk_001,00:01:03.250,00:01:05.450
c5EgkTbau2o_0014,t'uuch,zorongo,spk_001,00:01:06.350,00:01:08.450
c5EgkTbau2o_0015,tsaats,grasa,spk_001,00:01:09.550,00:01:11.450
c5EgkTbau2o_0016,ts'aak,medicina,spk_001,00:01:12.450,00:01:14.250
c5EgkTbau2o_0017,waaj,tortilla,spk_001,00:01:15.550,00:01:17.450
c5EgkTbau2o_0018,xamach,comal,spk_001,00:01:18.650,00:01:20.650
c5EgkTbau2o_0019,yúuntun,honda,spk_001,00:01:21.500,00:01:23.250
c5EgkTbau2o_0020,atan,esposa,spk_001,00:01:36.050,00:01:37.850
c5EgkTbau2o_0021,maak,tapa,spk_001,00:01:39.450,00:01:41.150
c5EgkTbau2o_0022,máak,persona,spk_001,00:01:42.450,00:01:44.050
c5EgkTbau2o_0023,sa',atole,spk_001,00:01:44.770,00:01:46.250
c5EgkTbau2o_0024,ja'an,yerno,spk_001,00:01:48.050,00:01:49.450
c5EgkTbau2o_0025,nej,cola,spk_001,00:01:50.550,00:01:52.050
c5EgkTbau2o_0026,peek',perro,spk_001,00:01:53.750,00:01:55.050
c5EgkTbau2o_0027,néen,espejo,spk_001,00:01:56.950,00:01:58.450
c5EgkTbau2o_0028,je',huevo,spk_001,00:01:59.450,00:02:00.850
c5EgkTbau2o_0029,se'en,tos,spk_001,00:02:02.950,00:02:04.450
c5EgkTbau2o_0030,ilib,nuera,spk_001,00:02:05.950,00:02:07.250
c5EgkTbau2o_0031,k'iin,sol,spk_001,00:02:08.750,00:02:10.350
c5EgkTbau2o_0032,íicham,esposo,spk_001,00:02:11.650,00:02:13.150
c5EgkTbau2o_0033,k'ali',perico,spk_001,00:02:15.250,00:02:16.550
c5EgkTbau2o_0034,k'i'ix,espina,spk_001,00:02:18.050,00:02:19.850
c5EgkTbau2o_0035,koj,diente,spk_001,00:02:21.250,00:02:22.550
c5EgkTbau2o_0036,ch'oom,zopilote,spk_001,00:02:24.400,00:02:25.950
c5EgkTbau2o_0037,sóol,cáscara,spk_001,00:02:27.250,00:02:28.950
c5EgkTbau2o_0038,ch'o',ratón,spk_001,00:02:30.450,00:02:31.550
c5EgkTbau2o_0039,to'on,nosotros,spk_001,00:02:33.050,00:02:34.550
c5EgkTbau2o_0040,uj,luna,spk_001,00:02:36.250,00:02:37.450
c5EgkTbau2o_0041,yuum,padre,spk_001,00:02:39.150,00:02:40.850
c5EgkTbau2o_0042,úulum,pavo,spk_001,00:02:42.150,00:02:43.650
c5EgkTbau2o_0043,k'u',nido,spk_001,00:02:45.250,00:02:46.450
c5EgkTbau2o_0044,k'u'k'um,pluma,spk_001,00:02:47.900,00:02:49.650
VSC-pggBf2Y_0000,chak,rojo,spk_002,00:02:11.350,00:02:12.950
VSC-pggBf2Y_0001,cháak,lluvia,spk_002,00:03:26.450,00:03:27.850
VSC-pggBf2Y_0002,sak,blanco,spk_002,00:04:10.950,00:04:11.950
VSC-pggBf2Y_0003,saak',comezón,spk_002,00:04:42.950,00:04:44.350
VSC-pggBf2Y_0004,sáak',langosta,spk_002,00:04:47.050,00:04:48.450
VSC-pggBf2Y_0005,saktal,blanquear,spk_002,00:05:46.650,00:05:48.150
VSC-pggBf2Y_0006,boox,negro,spk_002,00:06:01.050,00:06:02.450
VSC-pggBf2Y_0007,lela' juntúul box peek',este es un perro negro,spk_002,00:07:00.750,00:07:02.600
VSC-pggBf2Y_0008,k'an,amarillo,spk_002,00:07:38.750,00:07:39.450
VSC-pggBf2Y_0009,k'ank'an,amarillo,spk_002,00:07:42.000,00:07:43.250
VSC-pggBf2Y_0010,kan,cuatro,spk_002,00:08:08.400,00:08:09.650
VSC-pggBf2Y_0011,kaan,serpiente,spk_002,00:08:12.450,00:08:13.750
VSC-pggBf2Y_0012,ka'an,cielo,spk_002,00:08:18.150,00:08:19.350
VSC-pggBf2Y_0013,k'a'am,fuerte,spk_002,00:08:21.850,00:08:23.050
VSC-pggBf2Y_0014,k'áan,hamaca,spk_002,00:08:24.750,00:08:25.700
VSC-pggBf2Y_0015,ya'ax,verde,spk_002,00:09:01.350,00:09:03.050
VSC-pggBf2Y_0016,yáax,primero,spk_002,00:09:35.100,00:09:36.300
VSC-pggBf2Y_0017,ya'axche,ceiba,spk_002,00:10:06.250,00:10:07.330
VSC-pggBf2Y_0018,ch'ooj,azul,spk_002,00:11:16.750,00:11:17.750
VSC-pggBf2Y_0019,chak k'an,naranja,spk_002,00:12:48.150,00:12:49.300
VSC-pggBf2Y_0020,sam chak,rosa,spk_002,00:13:28.650,00:13:29.750
VSC-pggBf2Y_0021,samal chak,rosa,spk_002,00:13:29.950,00:13:31.650
VSC-pggBf2Y_0022,ba'ax lelo'oba',¿qué son estos?,spk_002,00:24:20.950,00:24:23.050
VSC-pggBf2Y_0023,bix u boonil,¿de qué color es?,spk_002,00:25:52.400,00:25:53.650
VSC-pggBf2Y_0024,bix u boonilo'ob,¿de qué color son?,spk_002,00:26:12.750,00:26:15.050
cKlAnBXWBcg_0000,wíinkilal,cuerpo,spk_002,00:00:05.750,00:00:08.150
cKlAnBXWBcg_0001,pool,cabeza,spk_002,00:00:10.350,00:00:12.450
cKlAnBXWBcg_0002,jo'ol,cabeza,spk_002,00:00:13.250,00:00:15.450
cKlAnBXWBcg_0003,tso'otsel pool,cabello,spk_002,00:00:19.950,00:00:22.550
cKlAnBXWBcg_0004,chúuch kaal,cerviz,spk_002,00:00:26.950,00:00:29.550
cKlAnBXWBcg_0005,kaal,cuello,spk_002,00:00:34.850,00:00:36.950
cKlAnBXWBcg_0006,keléembal,hombro,spk_002,00:00:41.950,00:00:44.250
cKlAnBXWBcg_0007,tseem,pecho,spk_002,00:00:49.950,00:00:51.950
cKlAnBXWBcg_0008,muuk' k'ab,bíceps,spk_002,00:00:57.450,00:00:59.650
cKlAnBXWBcg_0009,k'ab,brazo,spk_002,00:01:05.349,00:01:07.050
cKlAnBXWBcg_0010,iim,seno,spk_002,00:01:13.850,00:01:15.750
cKlAnBXWBcg_0011,chuuchu',seno,spk_002,00:01:17.650,00:01:19.550
cKlAnBXWBcg_0012,pool iim,pezón,spk_002,00:01:26.050,00:01:28.550
cKlAnBXWBcg_0013,tso'otsel tseem,vellos del pecho,spk_002,00:01:34.150,00:01:36.650
cKlAnBXWBcg_0014,tso'otsel xiik',vellos de la axila,spk_002,00:01:42.850,00:01:45.450
cKlAnBXWBcg_0015,xiik',axila,spk_002,00:01:51.550,00:01:53.750
cKlAnBXWBcg_0016,nak',barriga,spk_002,00:02:02.250,00:02:04.150
cKlAnBXWBcg_0017,paach,espalda,spk_002,00:02:11.250,00:02:13.250
