audio_file,segment_id,time_start,time_end,duration,transcription
01_Anatolio_Pech,1,0.0,14.624,14.624,le tzicbalob nu kaaba'e xta'cun bixunan xta'cun bixunane u kaat yaale' tu xta'can jun p'ee co'ole
01_Anatolio_Pech,2,14.624,25.312,10.688,a ta' kun vi xonaano le xonaano' jun p'ee co'le a ukaatia' bei yo le vi lo yan jun p'ele chan caa jo'
01_Anatolio_Pech,3,25.312,38.496,13.184,u kaaba'e' ya'ax che' paalo meeque ya'ala' ti' u kaaba' chan caajo' entonces beyoolelo' le co'olelo' sansamale yan u bin xiin xinba ti' le chan caajo'
01_Anatolio_Pech,4,38.496,49.28,10.784,caan yila' t nupital u yaabitale' quyoco ti chan caajo' cu maan u kaat tu'ux u yaantaj e' ma'ax icnale'
01_Anatolio_Pech,5,49.28,61.568,12.288,pero leti' utucul beyo le can wenequele u yumile na'o cuyoclic umpe palua upe umpe nojoch maco ambixbeyo
01_Anatolio_Pech,6,61.568,69.184,7.616,pero yan u tzaysic c'oja'ani ti' cu c'aatic u paajtali ti' junpe mac ti yotoche'
01_Anatolio_Pech,7,69.184,76.928,7.744,ma huatac'anquen ti' le noche y huene tauetela tumen tene mix tu' xeyantal
01_Anatolio_Pech,8,76.928,85.728,8.8,mix mac quin ka'ool weye' wa ca kamen ta wotoche' quin wenel saamale' quin bin
01_Anatolio_Pech,9,85.728,93.536,7.808,pues como mayoje maque cawayicte pues ojoquen coten le can wen que che
01_Anatolio_Pech,10,93.536,107.488,13.952,cu beetic ba'ala u dzaa techa a wuudz beente tya ca kasaca tuucul  ca sa'at ca na'at beyo' pues lela' sansamale beyo
01_Anatolio_Pech,11,107.488,114.656,7.168,juun tu mac cu sa'tat yotoch sansamale' juun tu mac cu sa'tat yotoch
01_Anatolio_Pech,12,114.656,123.84,9.184,jumpel u q'uiinile' yan jun tule maco' cu ya'ala' ti mac eloe cu tzayic sun dex chi' chi' be
01_Anatolio_Pech,13,123.84,138.368,14.528,deexdeeles chi'chibeo' lec u jit'icbeyac u beetic un pesume pero yan u payal chi'i iquil u yaic beta'al u mentico ca tyaje pues tene yan in chuc que co'olelo'
01_Anatolio_Pech,14,138.368,153.216,14.848,i wuje tu yaan in wilic bix quen in chuquic ca tu machaje le ta'ano' caj maan u tosbey tu jool u taana cada maacbeyo' cada maac tute tu tosqueta'an beya
01_Anatolio_Pech,15,153.216,159.904,6.688,le tu'ux cun yilchi ca'an tu'ux peecracnaj tu bine cu seguer cu bin tu paach
01_Anatolio_Pech,16,159.904,172.928,13.024,bey tu chuqui le co'olelo' ca ooc ti' jun peel nojoch ac tuun ne nojoch ac tun tux ooco' ca bin beya' miquex jun pulch'iini beya
01_Anatolio_Pech,17,172.928,180.288,7.36,ti'i cu nacle cu beeta' junpee xcatab che' ti'al u yeeme mac beya'c
01_Anatolio_Pech,18,180.288,189.76,9.472,cu dzoole' cu ca' ch'iicula' bej beya' cheal u bine as ta can cuchquech ti' jun p'eel jool bin no'joch jool beya
01_Anatolio_Pech,19,189.76,204.0,14.24,bey awa'ic ma' yustal u yoco maaque' tumen mixba' yanan machcab a mix tu'ux pero leti'e' ca j taale' le le sun tu beetade le chi'chibejo' ca tu kaxaj
01_Anatolio_Pech,20,204.0,210.496,6.496,ti' u pee tuunich yan u jooli beya' ca tu jalkesuba beya' ca tu jalkesubae'
01_Anatolio_Pech,21,210.496,221.664,11.168,ca j kuch tu'u xan e co'olelo' le xunaano' ca tieteque dzapacbal u poole  baaquel u poole maaco' cu bisco'
01_Anatolio_Pech,22,221.664,227.584,5.92,u jaantic cwale waquesab tuxwebchen baaque ch'e jecbal baquelob beyeb
01_Anatolio_Pech,23,227.584,240.128,12.544,ca chilaje ti chila'ani tu wene ca tu mache ca tu kaxaj yetel ex chiichi be tu yooc beya' kaxaj tu caapel yooqe ca tu kaxaj te'ela' u kaxaj te'ela'
01_Anatolio_Pech,24,240.128,249.056,8.928,le caj aajeco'lelo' tu p'iisbal u wach'cuba tu p'iisbal u cotzque le
01_Anatolio_Pech,25,249.056,255.072,6.016,sun beta'no' maj utz chayi' entonces latieca' thilaj ton beyo'
01_Anatolio_Pech,26,255.072,266.08,11.008,ca thila ma yustal u cotz quesumo ca opu yoko tu taane maaco' ca tiajte ba'ax ten ca meentic ten beya ma' oot a wique tene
01_Anatolio_Pech,27,266.08,280.704,14.624,quin bin in chae maacoobo per ti'al in cuxtaj mentene mix ba'al ula e yustal in jaantique cheene le tie maacoobeyo' entones le tene quin bin in chaay ti'al in jaante bela' dza caxquene biin yen in beetic
01_Anatolio_Pech,28,280.704,286.336,5.632,pues ca alati tomenemacopos malo bele' huey nac teche
01_Anatolio_Pech,29,286.336,297.664,11.328,ma' tan suut a bin a ch'a' mix maac a jante weycun dzoocla q'uiine' teche te' can paatatela' ni ca in sutech tuunchi
01_Anatolio_Pech,30,297.664,307.456,9.792,tuunichcan paatale' tia tac tu dzooc q'uin minaan ti ala ca jaantic mix mac te tuune aac tuuno
01_Anatolio_Pech,31,307.456,315.424,7.968,ti p'aat te tux sen jan tamen maacoobo' le'ec ba'ax tu beetemaac tuux ooco' tu tzela
01_Anatolio_Pech,32,315.424,325.408,9.984,bele' wa akaat ocle eystal awocle pero yaan a caxtic tu'une' sum chowac teklca patacaj awocli'
01_Anatolio_Pech,33,325.408,331.52,6.112,toone' binon ile jach tach tene' binon ile o contelo'
01_Anatolio_Pech,34,331.52,345.152,13.632,pero ma c'ucho'on xan te jach tu'ux yane co'ole su'ut tuunchilo' tumen xuub to'on sum minna'anto'on u masi sume ti naaco'on te'elo' ma c'ucho'on ti cnale'
01_Anatolio_Pech,35,345.152,354.528,9.376,le je'elo' yaan mi quex jun kaani beya tian jun pee jool bu ca'aja quiay que maaco'obo'
01_Anatolio_Pech,36,354.528,367.232,12.704,de que tu toji tuse ne jolo tian bine sunano le coolelo pues te'elo oca sic macuama saque che
01_Anatolio_Pech,37,367.232,380.448,13.216,ayan suume ca ca wocsic tumen le t bisajto'ono' nob beinta metros pero ma' j kucho'on ca xu'u le suumo' ma  coojo'oni'
01_Anatolio_Pech,38,380.448,389.92,9.472,chen ca wilic chica'an beya chicaan ba'aloc bey tunchebey may wojle wa leti' poole maacobo' wa jach tuun cho'oxan
01_Anatolio_Pech,39,389.92,396.931,7.011,pero ma cuchole beitzocco
02_Liboria_May,1,0.0,9.536,9.536,jelo le can conejo le snuj cojo ca  p'uta u taatej bew
02_Liboria_May,2,9.536,23.808,14.272,caj en contrata' mene chan t'u'lo le qe chan t'ulo cchin bli luta kyala vinte tun cavin ta na chente man quivi tuxun tech ta nate chac'an qin vina qivi ni cajin
