mayan	spanish
Bix a k'aaba'	¿Cómo te llamas?
In k'aaba'e'	Me llamo
Bix a beel	¿Cómo estás?
Ki'imak in wóol	Estoy feliz / contento.
K'uuxen	Estoy enojado.
Luba'an in wóol	Estoy triste.
K'oja'anen	Estoy enfermo.
Wi'ijen	Tengo hambre.
Uk'ajen	Tengo sed.
Ba'ax ka beetik	¿Qué haces?
Tu'ux ka bin	¿A dónde vas?
Taak in bin	Quiero ir.
Taak in wenel	Quiero dormir.
Ko'oten waye'	Ven acá.
Ko'ox xíimbal	Vamos a pasear.
Jach níib óolal	Muchas gracias.
Mixba'al	De nada.
Ka anaktech jump'éel jats'uts k'iin	Que tengas un bonito día.
Ka xi'iktech utsil	Que te vaya bien.
Je'el k-ilikba'e'	Nos vemos.
