id,iso3
saq_122440,saq
mhy_203687,mhy
tqo_96392,tqo
beu_197939,beu
wed_09346,wed
uzn_13639,uzn
nti_07800,nti
seh_33266,seh
bkx_152219,bkx
djr_190495,djr
hin_110647,hin
ilo_91184,ilo
kfv_77404,kfv
itr_218265,itr
kls_136704,kls
duc_14402,duc
bis_61291,bis
nos_52311,nos
mhi_80086,mhi
bxh_17571,bxh
smn_143514,smn
nij_97831,nij
cnk_00383,cnk
wme_140112,wme
ghe_37327,ghe
bgr_15677,bgr
bgr_15573,bgr
nyy_69719,nyy
lis_12689,lis
krw_100325,krw
box_184633,box
wog_204036,wog
aks_77786,aks
kqf_127868,kqf
kbx_198425,kbx
mgp_53490,mgp
clo_34910,clo
kua_49452,kua
mzw_94667,mzw
tel_214728,tel
xsm_220299,xsm
esg_05386,esg
vie_84282,vie
nhu_184769,nhu
beu_197954,beu
nan_134944,nan
xtd_28856,xtd
umb_192825,umb
suk_157552,suk
aix_101409,aix
amb_44996,amb
snd_184590,snd
kjl_76731,kjl
apc_180255,apc
som_100445,som
tzo_34032,tzo
wew_44671,wew
nbq_115265,nbq
lek_184091,lek
mki_13999,mki
lin_36256,lin
tke_123124,tke
adx_70660,adx
aui_40248,aui
dus_80228,dus
kfy_189825,kfy
isn_162523,isn
psw_44535,psw
knt_52234,knt
jra_188660,jra
<unk>_72700,<unk>
khq_92616,khq
bzf_99537,bzf
xri_117021,xri
kjl_76752,kjl
fra_161051,fra
sin_204262,sin
her_23198,her
bvc_73215,bvc
fuc_111519,fuc
kfx_117156,kfx
knx_45380,knx
apd_137383,apd
khe_92903,khe
hau_136375,hau
djr_190362,djr
new_195199,new
Zambia_35605,Zambia
pcg_44589,pcg
sin_204330,sin
kgr_21880,kgr
kde_46116,kde
guh_207970,guh
isn_162554,isn
jmx_16433,jmx
ign_81111,ign
kof_86571,kof
fub_214937,fub
syl_116730,syl
gaz_59109,gaz
mai_158388,mai
rgs_160197,rgs
kqs_20737,kqs
eyo_91926,eyo
eng_03394,eng
tcc_148102,tcc
kud_103057,kud
bcq_116267,bcq
qxl_84497,qxl
vor_177798,vor
grt_74942,grt
mzp_154751,mzp
the_189857,the
taq_195088,taq
kwk_63526,kwk
mkg_04947,mkg
mix_02454,mix
ont_132860,ont
kdh_174269,kdh
iru_145375,iru
fij_02472,fij
rim_215428,rim
eng_43537,eng
tsn_200536,tsn
hat_67922,hat
wim_182381,wim
ndc_160047,ndc
cag_156649,cag
acn_198996,acn
kyz_119954,kyz
mgw_68282,mgw
yom_153928,yom
nmf_10405,nmf
bhi_184159,bhi
acz_138061,acz
age_206115,age
gga_172849,gga
mgw_68428,mgw
prn_182915,prn
tsn_200381,tsn
mmc_83589,mmc
mkn_111392,mkn
bqa_115878,bqa
kxw_70988,kxw
eng_211487,eng
fub_162254,fub
hat_67885,hat
trd_18147,trd
kck_68457,kck
wut_115083,wut
ces_183202,ces
kff_05124,kff
mas_30981,mas
meh_166090,meh
dgc_179914,dgc
haj_197069,haj
sgc_108665,sgc
dms_161151,dms
sui_110151,sui
pis_144046,pis
loy_172884,loy
gue_169515,gue
ena_170944,ena
klr_23685,klr
dww_51369,dww
tke_123115,tke
mos_159691,mos
agw_218051,agw
zab_110488,zab
kzf_58146,kzf
ifa_46530,ifa
lma_02597,lma
ceg_35269,ceg
xuu_119411,xuu
njz_76244,njz
dhm_186313,dhm
xwl_73473,xwl
dmo_01267,dmo
lua_96263,lua
zas_213279,zas
ott_172277,ott
awa_209484,awa
sot_38929,sot
hno_63830,hno
tet_202558,tet
saq_122629,saq
nbu_86554,nbu
sat_81697,sat
dgz_143277,dgz
mos_159664,mos
amh_03593,amh
spa_130984,spa
mya_48158,mya
tzm_150917,tzm
nlk_177189,nlk
ygr_173547,ygr
uzn_45336,uzn
