utt_id,inicio,fin,duracion,F1,F2
spk_002_utt_0001,0.595,0.645,0.05,762.94,1553.46
spk_002_utt_0002,0.595,0.745,0.15,815.75,1633.89
spk_002_utt_0002,0.835,0.955,0.12,806.74,1517.25
spk_002_utt_0004,0.555,0.975,0.42,846.75,1506.13
spk_002_utt_0005,0.625,0.795,0.17,836.05,1517.56
spk_002_utt_0006,0.535,0.605,0.07,674.08,1575.85
spk_002_utt_0006,0.955,1.125,0.17,432.85,1539.36
spk_002_utt_0007,0.385,0.975,0.59,470.98,651.35
spk_002_utt_0008,0.295,0.605,0.31,377.15,1864.86
spk_002_utt_0008,0.745,0.845,0.1,348.34,992.88
spk_002_utt_0008,0.925,1.085,0.16,402.95,743.12
spk_002_utt_0008,1.195,1.345,0.15,435.27,765.67
spk_002_utt_0008,1.595,1.685,0.09,464.31,2146.08
spk_002_utt_0009,0.165,0.445,0.28,252.88,1396.3
spk_002_utt_0010,0.275,0.525,0.25,287.38,1504.44
spk_002_utt_0010,0.635,0.875,0.24,253.42,1394.64
spk_002_utt_0011,0.375,0.705,0.33,636.66,1557.24
spk_002_utt_0012,0.365,1.015,0.65,771.28,1462.24
spk_002_utt_0013,0.33,0.43,0.1,1124.54,2136.22
spk_002_utt_0013,0.61,0.91,0.3,421.69,1555.05
spk_002_utt_0014,0.32,0.38,0.06,1008.33,1595.79
spk_002_utt_0014,0.58,0.94,0.36,305.97,1486.62
spk_002_utt_0015,0.265,0.815,0.55,553.98,1399.33
spk_002_utt_0016,0.165,0.415,0.25,227.12,2519.12
spk_002_utt_0016,0.475,0.535,0.06,707.3,1857.14
spk_002_utt_0016,0.605,0.715,0.11,807.76,1555.22
spk_002_utt_0017,0.13,0.79,0.66,373.1,2297.62
spk_002_utt_0018,0.135,0.335,0.2,241.48,2413.51
spk_002_utt_0018,0.745,0.855,0.11,482.85,1966.0
spk_002_utt_0019,0.355,0.765,0.41,478.33,773.65
spk_002_utt_0020,0.185,0.245,0.06,655.03,1823.77
spk_002_utt_0020,0.685,0.965,0.28,641.67,1789.91
spk_002_utt_0021,0.315,0.605,0.29,367.3,1520.0
spk_002_utt_0022,0.335,0.635,0.3,499.8,996.49
spk_002_utt_0022,0.915,1.305,0.39,574.54,1399.38
spk_002_utt_0022,1.435,1.495,0.06,667.34,1728.3
spk_002_utt_0023,0.105,0.575,0.47,849.59,1478.85
spk_002_utt_0023,0.985,1.665,0.68,442.19,1258.58
spk_002_utt_0024,0.025,0.255,0.23,270.36,1970.29
spk_002_utt_0024,0.435,1.105,0.67,493.07,1043.15
spk_002_utt_0025,0.525,0.675,0.15,250.15,1937.34
spk_002_utt_0025,0.775,1.525,0.75,401.73,1412.81
spk_002_utt_0026,0.495,0.915,0.42,371.24,1522.48
spk_002_utt_0026,0.965,1.565,0.6,618.73,1558.81
spk_002_utt_0027,0.505,1.385,0.88,486.7,1068.05
spk_002_utt_0028,0.615,0.665,0.05,539.09,845.08
spk_002_utt_0028,0.685,0.815,0.13,521.68,843.48
spk_002_utt_0028,0.845,1.305,0.46,430.42,1594.23
spk_002_utt_0029,0.565,0.635,0.07,533.91,1081.44
spk_002_utt_0029,0.675,0.805,0.13,512.73,897.71
spk_002_utt_0029,0.825,0.935,0.11,556.85,1317.34
spk_002_utt_0029,0.975,1.315,0.34,373.16,1751.78
spk_002_utt_0029,1.355,1.985,0.63,451.6,1346.29
spk_002_utt_0030,0.575,1.025,0.45,404.52,1256.14
spk_002_utt_0030,1.145,1.785,0.64,645.6,1451.72
spk_002_utt_0031,0.625,1.435,0.81,709.8,1406.7
spk_002_utt_0032,0.585,1.625,1.04,487.66,1351.92
spk_002_utt_0033,0.575,1.405,0.83,412.25,1712.91
spk_002_utt_0034,0.545,0.985,0.44,411.15,847.77
spk_002_utt_0034,1.025,1.175,0.15,476.18,1318.13
spk_002_utt_0034,1.295,1.645,0.35,703.82,1382.77
spk_002_utt_0035,0.6955,1.0355,0.34,761.99,1354.72
spk_002_utt_0035,1.0755,1.1255,0.05,744.32,1221.77
spk_002_utt_0036,0.535,1.395,0.86,350.96,1881.45
spk_002_utt_0037,0.545,0.895,0.35,368.5,940.88
spk_002_utt_0037,0.995,1.355,0.36,445.59,1363.53
spk_002_utt_0038,0.535,1.725,1.19,409.43,1643.88
spk_002_utt_0039,0.545,0.665,0.12,532.2,1008.77
spk_002_utt_0039,0.695,0.795,0.1,504.54,1080.84
spk_002_utt_0039,0.935,1.275,0.34,387.87,1806.15
spk_002_utt_0039,1.335,1.955,0.62,332.62,1539.44
spk_002_utt_0040,0.635,0.685,0.05,527.25,1076.35
spk_002_utt_0040,0.795,0.955,0.16,480.44,1040.23
spk_002_utt_0040,1.015,1.275,0.26,428.37,1878.47
spk_002_utt_0040,1.445,1.805,0.36,362.28,2320.31
spk_002_utt_0040,1.865,1.915,0.05,999.77,2257.47
spk_002_utt_0041,0.855,1.375,0.52,367.23,2358.79
spk_002_utt_0042,0.565,0.975,0.41,703.26,1552.5
spk_002_utt_0042,0.995,1.055,0.06,639.13,1561.93
spk_002_utt_0043,0.615,1.275,0.66,817.94,1356.87
spk_002_utt_0044,0.565,0.785,0.22,383.01,788.56
spk_002_utt_0044,0.805,0.935,0.13,383.13,807.9
spk_002_utt_0044,0.985,1.075,0.09,387.88,1086.9
spk_002_utt_0045,0.705,0.825,0.12,227.41,1716.66
spk_002_utt_0045,0.855,1.105,0.25,825.37,1407.56
spk_002_utt_0045,1.505,1.645,0.14,705.39,1380.09
spk_002_utt_0046,0.645,0.735,0.09,498.98,798.7
spk_002_utt_0046,0.755,1.435,0.68,433.81,1108.09
spk_002_utt_0046,1.495,1.895,0.4,760.79,1508.21
spk_002_utt_0047,0.54,1.2,0.66,394.96,861.42
spk_002_utt_0048,0.585,1.315,0.73,323.17,1341.38
spk_002_utt_0049,0.525,0.925,0.4,365.7,825.24
spk_002_utt_0049,1.025,1.075,0.05,342.92,852.62
spk_002_utt_0050,0.615,0.975,0.36,505.79,1991.76
spk_002_utt_0051,0.545,1.035,0.49,689.52,1524.85
spk_002_utt_0051,1.055,1.095,0.04,1071.27,1951.74
spk_002_utt_0051,1.135,1.305,0.17,678.56,1398.69
spk_002_utt_0051,1.385,1.425,0.04,632.93,1374.36
spk_002_utt_0052,0.555,1.025,0.47,601.06,1368.63
spk_002_utt_0052,1.125,1.285,0.16,770.68,1399.75
spk_002_utt_0053,0.585,1.365,0.78,329.84,1650.46
spk_002_utt_0053,1.395,1.515,0.12,741.9,1407.29
spk_002_utt_0053,1.545,1.745,0.2,719.57,1359.44
spk_002_utt_0054,0.555,1.075,0.52,620.73,1458.98
spk_002_utt_0054,1.175,1.385,0.21,726.57,1367.84
spk_002_utt_0054,1.455,1.525,0.07,673.12,1354.94
spk_002_utt_0055,0.485,0.895,0.41,831.63,1415.56
spk_002_utt_0055,1.005,1.045,0.04,774.11,1761.58
spk_002_utt_0055,1.205,1.525,0.32,656.09,1414.86
spk_002_utt_0056,0.505,1.455,0.95,650.11,1340.54
spk_002_utt_0056,1.545,1.845,0.3,711.27,1398.49
spk_002_utt_0057,0.485,1.125,0.64,470.6,1295.35
spk_002_utt_0057,1.165,1.325,0.16,401.96,1004.39
spk_002_utt_0058,0.585,0.925,0.34,378.09,961.68
spk_002_utt_0058,1.095,1.515,0.42,335.3,2236.41
spk_002_utt_0059,0.685,1.315,0.63,403.56,2231.28
spk_002_utt_0060,0.6395,1.2995,0.66,403.57,840.56
spk_002_utt_0061,0.475,0.765,0.29,376.94,1802.91
spk_002_utt_0061,0.905,1.005,0.1,770.62,1504.8
spk_002_utt_0062,0.565,1.045,0.48,502.03,885.45
spk_002_utt_0062,1.105,1.185,0.08,658.51,1412.48
spk_002_utt_0063,0.555,0.805,0.25,530.43,983.17
spk_002_utt_0063,0.835,1.115,0.28,496.18,1024.24
spk_002_utt_0064,0.615,0.895,0.28,665.69,1294.72
spk_002_utt_0064,0.995,1.195,0.2,435.07,2006.46
spk_002_utt_0064,1.225,1.735,0.51,348.68,2375.4
spk_002_utt_0065,0.565,0.905,0.34,422.75,754.61
spk_002_utt_0065,1.025,1.095,0.07,434.46,1773.67
spk_002_utt_0065,1.125,1.495,0.37,357.47,2337.13
spk_002_utt_0065,1.555,1.625,0.07,437.84,2073.49
spk_002_utt_0066,0.505,1.005,0.5,515.08,1070.84
spk_002_utt_0066,1.065,1.175,0.11,772.54,1553.46
spk_002_utt_0066,1.255,1.685,0.43,505.84,877.26
spk_002_utt_0067,0.715,1.405,0.69,496.43,930.86
spk_002_utt_0068,0.665,1.185,0.52,378.14,1500.86
spk_002_utt_0068,1.395,1.845,0.45,477.78,837.05
spk_002_utt_0069,0.535,1.175,0.64,467.86,1954.31
spk_002_utt_0070,0.665,1.235,0.57,583.44,1442.78
spk_002_utt_0070,1.265,1.765,0.5,483.54,832.73
spk_002_utt_0071,0.495,0.635,0.14,380.27,817.64
spk_002_utt_0071,0.655,0.745,0.09,374.94,742.62
spk_002_utt_0071,0.825,0.975,0.15,619.11,1124.37
spk_002_utt_0071,1.125,1.515,0.39,482.97,837.37
spk_002_utt_0072,0.475,1.025,0.55,504.71,880.31
spk_002_utt_0073,0.525,0.915,0.39,791.96,1386.69
spk_002_utt_0073,1.175,1.675,0.5,481.53,873.86
spk_002_utt_0073,1.755,1.805,0.05,553.94,1356.71
spk_002_utt_0074,0.615,1.155,0.54,320.73,1503.27
spk_002_utt_0074,1.185,1.675,0.49,510.4,884.35
spk_002_utt_0075,0.545,0.945,0.4,771.49,1435.97
spk_002_utt_0075,1.015,1.095,0.08,590.47,1313.26
spk_002_utt_0075,1.125,1.595,0.47,481.17,831.45
spk_002_utt_0076,0.485,0.975,0.49,553.71,1369.11
spk_002_utt_0076,0.995,1.405,0.41,466.11,781.68
spk_002_utt_0077,0.485,1.005,0.52,490.47,1747.04
spk_002_utt_0077,1.065,1.575,0.51,318.18,1691.55
spk_002_utt_0078,0.535,0.945,0.41,670.39,1487.62
spk_002_utt_0078,1.045,1.245,0.2,333.72,2347.77
spk_002_utt_0079,0.485,0.785,0.3,328.45,2424.0
spk_002_utt_0080,0.685,0.905,0.22,309.34,2295.19
spk_002_utt_0080,0.945,1.525,0.58,304.87,1247.3
spk_002_utt_0081,0.495,0.795,0.3,403.25,1882.77
spk_002_utt_0081,0.855,0.995,0.14,488.42,2076.02
spk_002_utt_0081,1.225,1.405,0.18,343.39,2229.35
spk_002_utt_0081,1.465,1.935,0.47,294.99,1258.07
spk_002_utt_0082,0.525,1.035,0.51,479.92,1323.52
spk_002_utt_0082,1.115,1.825,0.71,427.92,1217.95
spk_002_utt_0083,0.535,1.005,0.47,456.0,1274.7
spk_002_utt_0083,1.035,1.075,0.04,864.36,1544.64
spk_002_utt_0083,1.125,1.185,0.06,527.93,926.13
spk_002_utt_0083,1.325,1.645,0.32,376.73,1605.62
spk_002_utt_0084,0.495,0.825,0.33,784.55,1500.98
spk_002_utt_0084,0.855,0.975,0.12,612.02,1425.88
spk_002_utt_0084,1.015,1.275,0.26,327.91,2182.04
spk_002_utt_0085,0.555,1.085,0.53,603.84,892.74
spk_002_utt_0085,1.185,1.575,0.39,345.19,1108.11
spk_002_utt_0086,0.755,1.245,0.49,384.8,1394.89
spk_002_utt_0086,1.275,1.515,0.24,264.73,2308.97
spk_002_utt_0087,0.525,1.005,0.48,842.07,1448.06
spk_002_utt_0087,1.085,1.255,0.17,673.81,1372.66
spk_002_utt_0088,0.465,0.765,0.3,329.9,2413.53
spk_002_utt_0089,0.505,0.855,0.35,489.15,2400.51
spk_002_utt_0090,0.505,0.735,0.23,302.26,1133.45
spk_002_utt_0090,0.855,1.195,0.34,462.94,2162.53
spk_002_utt_0091,0.775,1.705,0.93,337.74,1482.28
spk_002_utt_0092,0.655,0.905,0.25,396.07,752.33
spk_002_utt_0092,0.925,1.205,0.28,373.74,922.58
spk_002_utt_0093,0.555,0.895,0.34,341.92,2314.95
spk_002_utt_0094,0.495,0.955,0.46,484.22,841.65
spk_002_utt_0094,1.055,1.415,0.36,358.93,1930.33
spk_002_utt_0094,1.485,1.575,0.09,351.48,2252.31
spk_002_utt_0094,1.595,1.635,0.04,389.72,2313.34
spk_002_utt_0095,0.545,0.955,0.41,526.54,880.37
spk_002_utt_0096,0.505,1.115,0.61,821.86,1389.59
spk_002_utt_0097,0.515,1.125,0.61,382.02,804.09
